name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
北京地铁2号线,23,114674228,119,47,,545.917385194903,,,,railway,30,"LINESTRING (116.3582 39.94471981741572, 116.3580579 39.9446758, 116.3568237 39.9443383, 116.3542242 39.9436375, 116.3521813 39.9430442)",,0
北京地铁2号线,24,114674228,47,120,,394.1948038776725,,,,railway,30,"LINESTRING (116.3521813 39.9430442, 116.3515131 39.9428831, 116.3511008 39.9427648, 116.3507839 39.9426306, 116.3505151 39.9424698, 116.3502849 39.9423005, 116.350006 39.9420597, 116.3497796 39.9418249, 116.3495985 39.9415701, 116.3494836 39.941195, 116.3494142 39.9406276, 116.349413510957 39.9406)",,0
西直门到达站台,25,115617827,14,121,,23.25550768835477,,,,railway,30,"LINESTRING (116.3467523 39.9408006, 116.346829461247 39.9406)",,0
,26,115617828,39,122,,29.00710417902515,,,,railway,30,"LINESTRING (116.3469688 39.9408501, 116.3470655422987 39.9406)",,0
西直门出发站台,27,115617829,123,13,,24.22453899580733,,,,railway,30,"LINESTRING (116.3468675939556 39.9406, 116.3467874 39.940809)",,0
西直门到达站台,28,115617830,124,12,,27.13344601708802,,,,railway,30,"LINESTRING (116.3469754922605 39.9406, 116.3468848 39.9408339)",,0
西直门出发站台,29,115617832,11,125,,26.233675794857263,,,,railway,30,"LINESTRING (116.346853 39.9408261, 116.3469408761354 39.9406)",,0
,30,120275290,43,44,,37.77923930388019,,,,railway,30,"LINESTRING (116.3521609 39.943123, 116.3525924 39.9432004)",,0
,32,120275300,42,45,,64.06171945947911,,,,railway,30,"LINESTRING (116.3573042 39.9472875, 116.3573579 39.9473297, 116.3574322 39.9473818, 116.3575165 39.9474339, 116.357607 39.9474829, 116.3577087 39.9475264, 116.3578074 39.9475621, 116.3579254 39.9476025)",,0
,33,120275301,46,41,,67.69755281398248,,,,railway,30,"LINESTRING (116.3572233 39.9473623, 116.3572958 39.9474154, 116.3573855 39.9474704, 116.357526 39.947545, 116.3576674 39.9476029, 116.3577944 39.947647, 116.3578948 39.9476783)",,0
,35,120275306,44,47,,39.11451050450017,,,,railway,30,"LINESTRING (116.3525924 39.9432004, 116.3521813 39.9430442)",,0
,37,122003018,52,56,,135.53423578425787,,,,railway,30,"LINESTRING (116.3189688 39.9412194, 116.3188088 39.9424321)",,0
,38,122003024,54,58,,135.54529859327323,,,,railway,30,"LINESTRING (116.3191616 39.9412309, 116.3190016 39.9424437)",,0
,39,122003027,53,57,,135.57849626256302,,,,railway,30,"LINESTRING (116.3190694 39.9412264, 116.318912 39.9424397)",,0
,40,122003029,55,59,,135.57849603697474,,,,railway,30,"LINESTRING (116.3192622 39.941238, 116.3191048 39.9424513)",,0
,42,122003031,69,49,,280.2517038996167,,,,railway,30,"LINESTRING (116.3189027 39.944336, 116.3187857 39.9439145, 116.3189701 39.9425057, 116.3190576 39.9418355)",,0
13号线,43,122019975,127,5,,191.6675711329686,,,,railway,30,"LINESTRING (116.3469592730457 39.9406, 116.3465728 39.9416209, 116.3463313 39.9422551)",,0
13号线,44,122019975,5,8,,21.54345342470615,,,,railway,30,"LINESTRING (116.3463313 39.9422551, 116.3462506 39.9424387)",,0
13号线,45,122019975,8,4,,52.075866158536606,,,,railway,30,"LINESTRING (116.3462506 39.9424387, 116.3460778 39.9428879)",,0
13号线,46,122019975,4,9,,32.63362380254141,,,,railway,30,"LINESTRING (116.3460778 39.9428879, 116.3459627 39.9431678)",,0
13号线,47,122019975,9,128,,1842.1231192057814,,,,railway,30,"LINESTRING (116.3459627 39.9431678, 116.3453275 39.9447884, 116.3452326 39.945034, 116.3451594 39.9452742, 116.3451114 39.945611, 116.3450934 39.9459738, 116.3451062 39.9462339, 116.3451513 39.946496, 116.3452829 39.9473161, 116.3453741 39.9478411, 116.3454673 39.9483619, 116.3454978 39.948522, 116.3455153 39.9486957, 116.345521 39.9490075, 116.3455167 39.9491573, 116.3455052 39.9493066, 116.345489 39.9494449, 116.3454604 39.9495778, 116.3453892 39.9498337, 116.3452529 39.9501592, 116.3450957 39.9504532, 116.3434819 39.9534911, 116.3426438 39.9550012, 116.3422182 39.9557639, 116.3419732 39.9562157, 116.3418051 39.9565511, 116.341539 39.9571237, 116.3413781 39.9574596, 116.3411053 39.9580021, 116.3406094840803 39.9589)",,0
13号线,48,122090416,129,10,,1821.4381436732322,,,,railway,30,"LINESTRING (116.3405578387097 39.9589, 116.3410651 39.9579884, 116.3413425 39.9574487, 116.3415004 39.9571171, 116.3417676 39.956537, 116.3419381 39.9562049, 116.3421807 39.9557528, 116.3426063 39.954985, 116.3434561 39.9534854, 116.3450766 39.9504463, 116.3452306 39.9501486, 116.3453635 39.9498233, 116.3454324 39.949577, 116.3454663 39.9494442, 116.3454843 39.9492979, 116.3454902 39.9491537, 116.3454983 39.9490064, 116.3454881 39.9486921, 116.3454694 39.9485278, 116.3454395 39.9483642, 116.3453491 39.9478412, 116.345256 39.9473183, 116.3451258 39.9465025, 116.3450814 39.946233, 116.345068 39.9459725, 116.3450799 39.9456061, 116.3451255 39.9452658, 116.3451948 39.9450213, 116.3452874 39.9447743, 116.3458438 39.9433506)",,0
13号线,49,122090416,10,6,,108.00080572833572,,,,railway,30,"LINESTRING (116.3458438 39.9433506, 116.3459797 39.942989, 116.3461391 39.9425862, 116.3462093 39.9424207)",,0
13号线,50,122090416,6,7,,21.626204750923772,,,,railway,30,"LINESTRING (116.3462093 39.9424207, 116.3462911 39.9422366)",,0
13号线,51,122090416,7,130,,188.29124022319542,,,,railway,30,"LINESTRING (116.3462911 39.9422366, 116.3464291 39.9416932, 116.3468495555854 39.9406)",,0
,52,122218246,63,62,,440.85878093920115,,,,railway,30,"LINESTRING (116.3443629 39.9564454, 116.3446103 39.9524852)",,0
,53,122358006,66,67,,159.07835114684787,,,,railway,30,"LINESTRING (116.3473627 39.9452307, 116.3469059 39.9466178)",,0
北京地铁4号线,54,154870219,131,68,,291.21092814212966,,,,railway,30,"LINESTRING (116.3182 39.94697282364671, 116.3184178 39.9452529, 116.3185359 39.9443666)",,0
北京地铁4号线,55,154870219,68,132,,420.6132544046168,,,,railway,30,"LINESTRING (116.3185359 39.9443666, 116.3187769 39.9424871, 116.318865 39.9418236, 116.318952 39.9411534, 116.3189296562277 39.9406)",,0
北京地铁4号线,56,154870235,133,69,,417.56004816856233,,,,railway,30,"LINESTRING (116.319395320158 39.9406, 116.319333 39.9409853, 116.3193122 39.941114, 116.3192244 39.9417831, 116.3191365 39.942452, 116.3189027 39.944336)",,0
北京地铁4号线,57,154870235,69,134,,581.6556254064308,,,,railway,30,"LINESTRING (116.3189027 39.944336, 116.3187891 39.9452229, 116.3182 39.94953912540073)",,0
,59,163050716,136,80,,19.35767551344425,,,,railway,30,"LINESTRING (116.3582 39.94764883729525, 116.358002 39.9475636)",,0
,62,163050718,138,71,,112.60843500257775,,,,railway,30,"LINESTRING (116.3582 39.94759738213566, 116.3580643 39.9475129, 116.3579883 39.9474463, 116.3579262 39.9473737, 116.3578797 39.9472976, 116.3578223 39.9472037, 116.3577655 39.9471284, 116.3577587 39.9471157, 116.3576811 39.9470479, 116.3575514 39.9469585, 116.3573648 39.9468319)",,0
,63,163050718,71,70,,55.35075230092411,,,,railway,30,"LINESTRING (116.3573648 39.9468319, 116.3571755 39.9466995, 116.3570638 39.9466079, 116.3570079 39.9465139, 116.3569831 39.9464438)",,0
,65,163050723,78,75,,22.742977552349934,,,,railway,30,"LINESTRING (116.357731 39.9471971, 116.3575315 39.9470613)",,0
,66,163050725,139,76,,23.156654500874996,,,,railway,30,"LINESTRING (116.3582 39.94709975624573, 116.3581878 39.9470967, 116.3579324 39.9470646)",,0
,67,163050726,79,72,,82.40679053251628,,,,railway,30,"LINESTRING (116.357755 39.9474188, 116.35763 39.9473192, 116.3575099 39.9472187, 116.3573971 39.9471133, 116.3571712 39.9468321)",,0
,68,163050727,71,76,,55.22120944194397,,,,railway,30,"LINESTRING (116.3573648 39.9468319, 116.3575526 39.9469359, 116.3576998 39.9469968, 116.3579324 39.9470646)",,0
,69,163050727,76,140,,24.334859171664025,,,,railway,30,"LINESTRING (116.3579324 39.9470646, 116.3581869 39.9471361, 116.3582 39.94714071119247)",,0
,70,163050728,80,79,,26.506324723303624,,,,railway,30,"LINESTRING (116.358002 39.9475636, 116.357755 39.9474188)",,0
,71,163050728,79,73,,83.51896735970581,,,,railway,30,"LINESTRING (116.357755 39.9474188, 116.3576159 39.9473383, 116.3575371 39.9472873, 116.3574505 39.9472229, 116.3573551 39.947135, 116.3571234 39.946855)",,0
北京地铁9号线,72,165637513,141,51,,62.09160988149816,,,,railway,30,"LINESTRING (116.3191826410913 39.9406, 116.3191461 39.9411577)",,0
,73,199140214,51,49,,75.74463141159977,,,,railway,30,"LINESTRING (116.3191461 39.9411577, 116.3190576 39.9418355)",,0
北京地铁9号线,75,199140216,50,142,,61.82744318720185,,,,railway,30,"LINESTRING (116.3191051 39.9411555, 116.3191366837992 39.9406)",,0
,76,265943523,100,101,,235.8177755244989,,,,railway,30,"LINESTRING (116.3444718 39.9521018, 116.3447151 39.9517442, 116.3448813 39.9514751, 116.3453341 39.9506337, 116.3455972 39.9501658)",,0
北京北站,78,265943738,81,81,,1624.3953218164368,,,,railway,30,"LINESTRING (116.3485956 39.9409499, 116.3475085 39.9407236, 116.347087 39.9419209, 116.3465258 39.9424084, 116.3456732 39.944788, 116.3455575 39.9451398, 116.3454978 39.9453643, 116.3454413 39.9456376, 116.3454251 39.9458451, 116.3454212 39.946048, 116.3454219 39.9463306, 116.3454354 39.9466235, 116.3456241 39.9466156, 116.3456297 39.9469676, 116.3466559 39.9470085, 116.3468619 39.9458497, 116.3471597 39.9448955, 116.3485956 39.9409499)",,0
交通大学专用线,79,266107056,82,83,,267.14913765917197,,,,railway,30,"LINESTRING (116.3347178 39.9535353, 116.3348949 39.9535411, 116.3350825 39.9535109, 116.3352898 39.9534617, 116.3355021 39.9533746, 116.3356946 39.9532914, 116.3358871 39.9531892, 116.3360796 39.9530757, 116.3362475 39.9529546, 116.3363758 39.9527843, 116.336435 39.9526443, 116.3364844 39.9525043, 116.3365486 39.9523227, 116.3365831 39.9521562, 116.3366078 39.9520427, 116.336623 39.9519471)",,0
,81,266107062,30,85,,70.52934998607087,,,,railway,30,"LINESTRING (116.332283 39.9522302, 116.3321726 39.9521898, 116.3318871 39.9521489, 116.3316787 39.9521291, 116.3314746 39.9521176)",,0
,82,266107062,85,86,,27.392752857269645,,,,railway,30,"LINESTRING (116.3314746 39.9521176, 116.3313092 39.9521028, 116.3311545 39.9520978)",,0
,83,266107063,34,85,,16.940259026150056,,,,railway,30,"LINESTRING (116.3316636 39.9521647, 116.3314746 39.9521176)",,0
冷库专用线,85,684153438,144,37,,192.41054473954517,,,,railway,30,"LINESTRING (116.3404439769937 39.9589, 116.3404448 39.9588989, 116.3406247 39.9586672, 116.3409378 39.9582369, 116.3411537 39.9579307, 116.3412437 39.95779, 116.3413661 39.9576052, 116.3415026 39.9573729)",,0
铁科研专用线,86,741483404,31,82,,749.7519590603762,,,,railway,30,"LINESTRING (116.3418778 39.9564423, 116.3418878 39.9562868, 116.3418746 39.9561359, 116.3418036 39.9558435, 116.3416683 39.9555558, 116.3414981 39.9553417, 116.341245 39.9551209, 116.3411247 39.9550361, 116.3409145 39.9549188, 116.3406915 39.9548116, 116.3403785 39.9547012, 116.3396233 39.9545154, 116.3387474 39.9542778, 116.3381431 39.9541515, 116.3347178 39.9535353)",,0
铁科研专用线,87,741483404,82,33,,121.31306489366224,,,,railway,30,"LINESTRING (116.3347178 39.9535353, 116.3340012 39.9534064, 116.3338221 39.9533419, 116.333653 39.9532302, 116.3334577 39.9530917)",,0
铁科研专用线,88,741483404,33,30,,142.42815751365092,,,,railway,30,"LINESTRING (116.3334577 39.9530917, 116.3332974 39.9529353, 116.3331225 39.9527051, 116.3329302 39.9525353, 116.3327115 39.9523767, 116.3324725 39.9522873, 116.332283 39.9522302)",,0
铁科研专用线,89,741483404,30,34,,53.515713165502895,,,,railway,30,"LINESTRING (116.332283 39.9522302, 116.3321216 39.9522289, 116.3319233 39.9521904, 116.3316636 39.9521647)",,0
京张高铁,91,741483406,89,88,,30.67028401544202,,120.0,,railway,30,"LINESTRING (116.344311 39.952403, 116.3444472 39.9521477)",,0
京张高铁,92,741483406,88,100,,5.517812668696197,,120.0,,railway,30,"LINESTRING (116.3444472 39.9521477, 116.3444718 39.9521018)",,0
京张高铁,93,741483406,100,107,,119.85810151271171,,120.0,,railway,30,"LINESTRING (116.3444718 39.9521018, 116.344738 39.951603, 116.3450066 39.9511049)",,0
京张高铁,94,741483406,107,65,,48.52325553749652,,120.0,,railway,30,"LINESTRING (116.3450066 39.9511049, 116.3450322 39.9510575, 116.3452299 39.9507035)",,0
京张高铁,95,741483406,65,102,,11.728836045119245,,120.0,,railway,30,"LINESTRING (116.3452299 39.9507035, 116.3452824 39.950606)",,0
,99,741483409,87,115,,16.398010542713052,,,,railway,30,"LINESTRING (116.3442506 39.9523923, 116.3443512 39.9522666)",,0
,100,741483409,115,88,,15.548593926074162,,,,railway,30,"LINESTRING (116.3443512 39.9522666, 116.3444472 39.9521477)",,0
,101,741483410,89,115,,15.549255773168952,,,,railway,30,"LINESTRING (116.344311 39.952403, 116.3443512 39.9522666)",,0
,102,741483410,115,90,,15.603226814160893,,,,railway,30,"LINESTRING (116.3443512 39.9522666, 116.3443978 39.9521309)",,0
,104,741483412,93,96,,687.1171497724109,,,,railway,30,"LINESTRING (116.3457322 39.9486277, 116.3457331 39.9481979, 116.345719 39.9480109, 116.3456907 39.9477723, 116.3456412 39.9474389, 116.3456129 39.9471462, 116.3455917 39.9469166, 116.3455846 39.9466781, 116.3455846 39.9463419, 116.3455938 39.9461088, 116.345615 39.9458862, 116.3456469 39.9456588, 116.3457034 39.9453661, 116.3458058 39.9450013, 116.3459335 39.9446506, 116.3465321 39.9430394, 116.3467091 39.9425632)",,0
,105,741483413,97,98,,687.2225556352282,,,,railway,30,"LINESTRING (116.345846 39.9486459, 116.3458217 39.9483847, 116.3457937 39.9481719, 116.3457144 39.9475781, 116.3456841 39.9473081, 116.3456631 39.9470023, 116.3456584 39.9468699, 116.3456515 39.9467054, 116.3456491 39.9465087, 116.3456515 39.9462905, 116.3456678 39.9460669, 116.3456841 39.9459042, 116.3457074 39.9457379, 116.3457261 39.9456198, 116.3457588 39.945441, 116.3457914 39.9453051, 116.3458497 39.9450878, 116.3459476 39.9447919, 116.3460504 39.9444878, 116.3467502 39.9425765)",,0
,106,741483414,101,102,,55.82098726250851,,,,railway,30,"LINESTRING (116.3455972 39.9501658, 116.3452824 39.950606)",,0
,107,741483415,103,104,,55.52367904693289,,,,railway,30,"LINESTRING (116.3454295 39.9501156, 116.3452327 39.9505916)",,0
,108,741483416,65,114,,24.53325349895947,,,,railway,30,"LINESTRING (116.3452299 39.9507035, 116.3450921 39.9508972)",,0
,109,741483416,114,105,,24.470148413194142,,,,railway,30,"LINESTRING (116.3450921 39.9508972, 116.3449583 39.9510919)",,0
,110,741483417,106,114,,24.803612188979308,,,,railway,30,"LINESTRING (116.3451814 39.9506849, 116.3450921 39.9508972)",,0
,111,741483417,114,107,,24.217855922849,,,,railway,30,"LINESTRING (116.3450921 39.9508972, 116.3450066 39.9511049)",,0
,114,760394753,91,103,,235.5380785411446,,,,railway,30,"LINESTRING (116.3444226 39.9520868, 116.3445523 39.9517677, 116.3446152 39.9516261, 116.3450153 39.9508726, 116.3454295 39.9501156)",,0
京张高铁,117,760394754,104,106,,11.258430898749763,,120.0,,railway,30,"LINESTRING (116.3452327 39.9505916, 116.3451814 39.9506849)",,0
京张高铁,118,760394754,106,105,,49.08997934655787,,120.0,,railway,30,"LINESTRING (116.3451814 39.9506849, 116.3449864 39.9510393, 116.3449583 39.9510919)",,0
京张高铁,119,760394754,105,91,,119.68384672129787,,120.0,,railway,30,"LINESTRING (116.3449583 39.9510919, 116.34479 39.9514069, 116.3444991 39.9519508, 116.3444226 39.9520868)",,0
京张高铁,120,760394754,91,90,,5.339946332725176,,120.0,,railway,30,"LINESTRING (116.3444226 39.9520868, 116.3443978 39.9521309)",,0
京张高铁,121,760394754,90,87,,31.658925212171265,,120.0,,railway,30,"LINESTRING (116.3443978 39.9521309, 116.3442506 39.9523923)",,0
,124,760394756,0,1,,66.32937158499183,,,,railway,30,"LINESTRING (116.3461013 39.9486105, 116.3462236 39.9480214)",,0
京张高铁,126,760528587,60,20,,29.844221268274154,,120.0,,railway,30,"LINESTRING (116.3459055 39.9490341, 116.3459245 39.9487661)",,0
,128,760528588,93,94,,689.322374998431,,,,railway,30,"LINESTRING (116.3457322 39.9486277, 116.3456976 39.948293, 116.3456266 39.9478835, 116.34559 39.9476998, 116.3455362 39.9472908, 116.3454799 39.9467588, 116.3454638 39.9464157, 116.3454585 39.9461178, 116.3454745 39.9458035, 116.3455094 39.9455097, 116.3455362 39.9453865, 116.3455817 39.9452016, 116.3456487 39.9450023, 116.3463493 39.9430069, 116.3465132 39.9425399)",,0
,129,831608094,21,99,,761.6399579002817,,,,railway,30,"LINESTRING (116.3473003 39.9414613, 116.3467143 39.9430709, 116.3463773 39.9440119, 116.3462422 39.9444082, 116.3461207 39.9447376, 116.3460313 39.9450334, 116.3459442 39.9453948, 116.3458919 39.9457079, 116.3458301 39.9460327, 116.3457931 39.9463655, 116.3457693 39.9470009, 116.3457699 39.9473147, 116.3457762 39.9475872, 116.3458015 39.9478314, 116.3458349 39.9481651)",,0
,132,163050715;120275305;109345298;120275308,135,44,,767.0003501828322,,,,railway,30,"LINESTRING (116.3582 39.94774038429972, 116.3579225 39.9476615, 116.3578025 39.9476235, 116.3576837 39.9475818, 116.3575265 39.9475116, 116.3574065 39.947448, 116.3572988 39.9473788, 116.357203 39.947304, 116.3570141 39.947139, 116.3568802 39.9469724, 116.3567812 39.9467897, 116.3567236 39.9466097, 116.3566829 39.9464057, 116.3566699 39.9463198, 116.3566178 39.9458127, 116.3565811 39.945422, 116.3564969 39.9449967, 116.3561924 39.9445839, 116.3558539 39.94434, 116.3553417 39.9440833, 116.3544078 39.9437588, 116.3535449 39.9434789, 116.3525924 39.9432004)",,0
,135,109369285;266107058,33,84,,116.71473759126756,,,,railway,30,"LINESTRING (116.3334577 39.9530917, 116.3332654 39.9530045, 116.3330613 39.9529107, 116.3328777 39.9528906, 116.3321606 39.9528236)",,0
京张高铁,136,741483407;684153437,87,143,,783.5458871121097,,120.0,,railway,30,"LINESTRING (116.3442506 39.9523923, 116.3442212 39.9524547, 116.343085 39.9544726, 116.3421021 39.9563274, 116.3407260863336 39.9589)",,0
,137,163050717;109345299;109345282;120275292,137,126,,413.0317376814497,,,,railway,30,"LINESTRING (116.3582 39.94770540163451, 116.3579373 39.9476314, 116.3578157 39.9475939, 116.357694 39.9475529, 116.3575453 39.9474832, 116.357428 39.9474215, 116.3573326 39.9473564, 116.3572326 39.9472777, 116.3570533 39.94712, 116.3569194 39.9469568, 116.3568315 39.9467839, 116.3567667 39.9466018, 116.3567302 39.9463976, 116.3567301 39.9462765, 116.3567476 39.9461483, 116.3567739 39.9460363, 116.356834 39.9459049, 116.3570055 39.9456243, 116.35729 39.9454038, 116.3576799 39.9452442, 116.3581853 39.945189, 116.3582 39.94519018735135)",,0
,138,122003030;199140215,68,50,,361.6281002783534,,,,railway,30,"LINESTRING (116.3185359 39.9443666, 116.3187445 39.9439112, 116.318928 39.9425012, 116.319016 39.9418329, 116.3191051 39.9411555)",,0
京张高铁,140,741483405;741483408,145,89,,782.1509890645963,,120.0,,railway,30,"LINESTRING (116.3407959293659 39.9589, 116.3410359 39.9584234, 116.341717 39.9571684, 116.3421208 39.956417, 116.3431439 39.9544869, 116.344279 39.9524694, 116.344311 39.952403)",,0
,141,163050716;163050722,80,74,,99.55220241167372,,,,railway,30,"LINESTRING (116.358002 39.9475636, 116.3577692 39.9474746, 116.3576306 39.9474119, 116.3575093 39.9473436, 116.3574115 39.9472772, 116.3573138 39.9471937, 116.357144 39.9469864)",,0
,145,760394753;741483411;760528588,103,93,,168.7436804609379,,,,railway,30,"LINESTRING (116.3454295 39.9501156, 116.3454438 39.9500895, 116.3455616 39.9498109, 116.3456509 39.9495446, 116.3456722 39.9494558, 116.3457091 39.9492665, 116.3457362 39.9490293, 116.3457322 39.9486277)",,0
京张高铁,146,109369075;760394751;760394754,97,104,,224.84457077385207,,120.0,,railway,30,"LINESTRING (116.345846 39.9486459, 116.3458359 39.948926, 116.3458213 39.9491488, 116.3457972 39.9492773, 116.3457949 39.9492969, 116.3457673 39.9494167, 116.3457533 39.9494851, 116.3457336 39.9495515, 116.3456695 39.9497412, 116.345623 39.9498497, 116.3455678 39.9499682, 116.3454642 39.950171, 116.3452327 39.9505916)",,0
京张高铁,147,741483406;760394755;760528587,102,60,,183.72957167111485,,120.0,,railway,30,"LINESTRING (116.3452824 39.950606, 116.3453682 39.9504463, 116.3455937 39.9500399, 116.3456812 39.94987, 116.3457475 39.9497102, 116.3457924 39.9495621, 116.3458103 39.9495046, 116.3458592 39.9493193, 116.3459055 39.9490341)",,0
,148,265943523;760394752;760394756,101,0,,179.1302047006829,,,,railway,30,"LINESTRING (116.3455972 39.9501658, 116.3457012 39.9499808, 116.3458111 39.9497651, 116.3459001 39.9495365, 116.3459165 39.949471, 116.3459538 39.9493509, 116.345993 39.949204, 116.3461013 39.9486105)",,0
