name,node_id,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,production_value,attraction_value
,0,7,,,,0,-111.9050301,33.401119800000004,,749,741
,1,7,,turning_circle,,0,-111.9050216,33.401456599999996,,749,741
,2,2,,,,0,-111.9261685,33.4351616,,749,741
,3,1,,,,0,-111.9275146,33.4245016,,749,741
,4,7,,,,0,-111.9046885,33.4050408,,749,741
,5,7,,,,0,-111.90466459999999,33.404065700000004,,749,741
,6,7,,,,0,-111.90432129999999,33.4031916,,749,741
,7,7,,,,0,-111.9041239,33.402496500000005,,749,741
,8,7,,,,0,-111.90411529999999,33.4011279,,749,741
,9,7,,,,0,-111.9041831,33.410055,,749,741
,10,7,,,,0,-111.9041993,33.4074331,,749,741
,11,7,,,,0,-111.90419920000001,33.4050607,,749,741
,13,0,,,,0,-111.9047405,33.4274001,,749,741
,14,0,,,,0,-111.9047769,33.424976199999996,,749,741
,15,2,,,,0,-111.92618940000001,33.4375561,,2,743
,16,2,,,,0,-111.92631609999998,33.431229800000004,,749,741
,17,7,,,,0,-111.91647520000001,33.4034487,,749,741
,18,7,,turning_circle,,0,-111.9165352,33.4038858,,749,741
,19,7,,,,0,-111.91079369999999,33.4014114,,749,741
,20,7,,,,0,-111.90972859999998,33.4010251,,749,741
,21,6,,,,0,-111.944268,33.4307934,,749,741
,22,6,,,,0,-111.9442567,33.4295155,,749,741
,23,6,,,,0,-111.94432520000001,33.4291446,,749,741
,24,8,,,,0,-111.94428140000001,33.4254737,,749,741
,25,8,,,,0,-111.9443033,33.4243197,,749,741
,26,8,,,,0,-111.9442993,33.423177100000004,,749,741
,27,8,,traffic_signals,,0,-111.94426609999998,33.4218936,,749,741
,28,8,,,,0,-111.9442498,33.420638000000004,,749,741
,29,8,,,,0,-111.9442498,33.4203483,,749,741
,30,8,,,,0,-111.94424599999999,33.4194019,,749,741
,31,8,,,,0,-111.94424529999999,33.4189174,,749,741
,32,3,,,,0,-111.9442439,33.417783299999996,,749,741
,33,3,,,,0,-111.94424099999999,33.4168222,,749,741
,34,3,,,,0,-111.94424029999999,33.4160678,,749,741
,35,3,,,,0,-111.9442483,33.4146347,,749,741
,36,3,,,,0,-111.9442875,33.4146337,,749,741
,37,3,,,,0,-111.9443138,33.4139026,,749,741
,38,3,,,,0,-111.94430940000001,33.413181699999996,,749,741
,39,3,,,,0,-111.9443024,33.411020799999996,,749,741
,40,4,,,,0,-111.9439499,33.4073767,,749,741
,41,1,,traffic_signals,,0,-111.9304264,33.4231268,,749,741
,42,1,,,,0,-111.9290798,33.4242989,,749,741
,45,8,,turning_loop,,0,-111.9391418,33.4243489,,749,741
,46,0,,,,0,-111.90610690000001,33.4249456,,749,741
,47,0,,turning_circle,,0,-111.90764399999999,33.424517800000004,,749,741
,48,8,,,,0,-111.93666599999999,33.424359100000004,,749,741
,49,8,,,,0,-111.9412608,33.4219305,,749,741
,50,8,,,,0,-111.9412375,33.4190521,,749,741
,51,3,,,,0,-111.94123,33.4176195,,749,741
,52,3,,,,0,-111.94120500000001,33.416204,,749,741
,53,3,,,,0,-111.94118940000001,33.4147443,,749,741
,54,4,,,,0,-111.9405507,33.4010434,,749,741
,55,4,,,,0,-111.94058500000001,33.4020179,,749,741
,56,9,,turning_circle,,0,-111.9301372,33.4042295,,749,741
,57,9,,,,0,-111.92901280000001,33.4042438,,749,741
,58,4,,,,0,-111.93927679999999,33.408668,,749,741
,59,4,,,,0,-111.9360118,33.409505800000005,,749,741
,60,5,,,,0,-111.9177482,33.4094786,,749,741
,61,9,,turning_circle,,0,-111.9301254,33.410444399999996,,749,741
,62,9,,,,0,-111.92651200000002,33.4104588,,749,741
,63,5,,,,0,-111.9232523,33.4118914,,749,741
,64,3,,,,0,-111.94233999999999,33.4136148,,749,741
,65,3,,,,0,-111.94241880000001,33.4147283,,749,741
,66,3,,,,0,-111.9424528,33.4161904,,749,741
,67,3,,,,0,-111.94245249999999,33.4176183,,749,741
,68,8,,,,0,-111.9423945,33.4190482,,749,741
,69,8,,,,0,-111.94237209999999,33.4205087,,749,741
,70,8,,traffic_signals,,0,-111.9423899,33.4219281,,749,741
,71,8,,traffic_signals,,0,-111.943347,33.4254811,,749,741
,72,6,,traffic_signals,,0,-111.94277190000001,33.4275569,,749,741
,73,6,,,,0,-111.94246499999998,33.428442600000004,,749,741
,74,7,,turning_circle,,0,-111.91669540000001,33.4057176,,749,741
,75,7,,,,0,-111.91673349999999,33.4064288,,749,741
,76,0,,,,0,-111.9090828,33.4190024,,749,741
,77,0,,,,0,-111.90161259999999,33.4192608,,749,741
,78,9,,,,0,-111.9263055,33.4020675,,749,741
,79,9,,,,0,-111.92630290000001,33.4028001,,749,741
,80,9,,traffic_signals,,0,-111.9262983,33.4035219,,749,741
,81,9,,,,0,-111.9262976,33.4047779,,749,741
,82,1,,traffic_signals,,0,-111.9262973,33.4128826,,749,741
,83,1,,traffic_signals,,0,-111.9263074,33.4168484,,749,741
,84,1,,traffic_signals,,0,-111.92629050000001,33.4191375,,749,741
,85,1,,,,0,-111.92623789999999,33.42097630000001,,749,741
,87,9,,,,0,-111.9312568,33.4084598,,749,741
,88,9,,traffic_signals,,0,-111.93113819999999,33.407523100000006,,749,741
,89,9,,,,0,-111.9310728,33.4066298,,749,741
,90,9,,,,0,-111.9310814,33.4058345,,749,741
,91,9,,,,0,-111.9310814,33.4050391,,749,741
,92,9,,,,0,-111.9310814,33.4042438,,749,741
,93,9,,,,0,-111.9310814,33.403427,,749,741
,94,0,,turning_circle,,0,-111.91080759999998,33.418129,,749,741
,95,0,,,,0,-111.910665,33.4174037,,749,741
,96,3,,,,0,-111.94579820000001,33.4139106,,749,741
,97,7,,turning_circle,,0,-111.90318229999998,33.405779700000004,,749,741
,98,7,,,,0,-111.90296509999999,33.4054076,,749,741
,99,7,,,,0,-111.90248259999998,33.4056052,,749,741
,100,4,,,,0,-111.93274650000001,33.4050248,,749,741
,101,7,,,,0,-111.90655090000001,33.405046399999996,,749,741
,102,7,,,,0,-111.9080351,33.404887800000004,,749,741
,103,7,,,,0,-111.9091257,33.4046543,,749,741
,104,7,,,,0,-111.91050870000001,33.4041982,,749,741
,105,7,,,,0,-111.9113672,33.4041988,,749,741
,106,7,,,,0,-111.913624,33.404202399999996,,749,741
,107,7,,turning_circle,,0,-111.9145825,33.404229,,749,741
,108,7,,turning_circle,,0,-111.90803559999999,33.4050959,,749,741
,109,4,,,,0,-111.93978680000001,33.405220799999995,,749,741
,110,4,,,,0,-111.93596509999999,33.4051609,,749,741
,111,4,,,,0,-111.9349115,33.405175,,749,741
,112,9,,turning_circle,,0,-111.9235415,33.4052867,,749,741
,113,9,,,,0,-111.9226207,33.405306599999996,,749,741
,114,9,,,,0,-111.9204044,33.4052528,,749,741
,115,4,,,,0,-111.93163929999999,33.40165,,749,741
,116,4,,turning_circle,,0,-111.9316478,33.4011412,,749,741
,117,3,,,,0,-111.9397324,33.4119109,,749,741
,118,3,,,,0,-111.93796210000001,33.4119438,,749,741
,119,3,,,,0,-111.9365723,33.4119575,,749,741
,120,3,,,,0,-111.9349297,33.4119783,,749,741
,121,1,,,,0,-111.9306853,33.4120477,,749,741
,122,0,,,,0,-111.90477209999999,33.4320323,,749,741
,124,6,,,,0,-111.94577930000001,33.4291351,,749,741
,125,5,,,,0,-111.9204281,33.4128828,,749,741
,126,5,,,,0,-111.92096529999999,33.4128775,,749,741
,127,5,,,,0,-111.9209439,33.4113482,,749,741
,128,9,,,,0,-111.9222504,33.4044534,,749,741
,129,9,,,,0,-111.9215314,33.4035026,,749,741
,130,9,,,,0,-111.9212925,33.4027608,,749,741
,131,9,,,,0,-111.92111799999999,33.4020613,,749,741
,132,9,,,,0,-111.9211187,33.401027299999996,,749,741
,133,3,,,,0,-111.9451702,33.4131851,,749,741
,134,4,,,,0,-111.9398422,33.4086532,,749,741
,135,4,,,,0,-111.9381791,33.4085985,,749,741
,136,9,,,,0,-111.9279752,33.407502799999996,,749,741
,137,9,,,,0,-111.9279399,33.4034628,,749,741
,138,9,,,,0,-111.92838300000001,33.409744800000006,,749,741
,139,9,,turning_circle,,0,-111.92837450000002,33.4090473,,749,741
,140,3,,,,0,-111.93996670000001,33.4167979,,749,741
,141,3,,,,0,-111.9373669,33.414646600000005,,749,741
,143,1,,,,0,-111.9306493,33.4147379,,749,741
,146,0,,,,0,-111.9090423,33.4273929,,749,741
,147,0,,,,0,-111.90902720000001,33.4208582,,749,741
,148,0,,,,0,-111.9090775,33.4195301,,749,741
,149,0,,,,0,-111.90910330000001,33.4181939,,749,741
,150,0,,traffic_signals,,0,-111.90910359999998,33.4174837,,749,741
