name,node_id,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry
,2798,,,traffic_signals,motorway,0,-111.9263808,33.3850384,POINT (-111.9263808 33.3850384)
,2799,2271,,,residential,0,-111.9091257,33.4046543,POINT (-111.9091257 33.4046543)
,2800,2272,,,residential,0,-111.9105087,33.4041982,POINT (-111.9105087 33.4041982)
,2801,2273,,,residential,0,-111.9113672,33.4041988,POINT (-111.9113672 33.4041988)
,2802,2274,,turning_circle,residential,0,-111.9063106,33.3504922,POINT (-111.9063106 33.3504922)
,2803,,,motorway_junction,motorway,0,-111.9186492,33.3858203,POINT (-111.9186492 33.3858203)
,2804,2275,,,residential,0,-111.913624,33.4042024,POINT (-111.913624 33.4042024)
,2805,2276,,,residential,0,-111.933871,33.3504303,POINT (-111.933871 33.3504303)
,2806,2277,,,residential,0,-111.9363427,33.3504305,POINT (-111.9363427 33.3504305)
,2807,2278,,turning_circle,residential,0,-111.9131588,33.3511067,POINT (-111.9131588 33.3511067)
,2808,2279,,turning_circle,residential,0,-111.9080356,33.4050959,POINT (-111.9080356 33.4050959)
,2809,2280,,turning_circle,residential,0,-111.9299859,33.3510185,POINT (-111.9299859 33.3510185)
,2810,2281,,,residential,0,-111.9397868,33.4052208,POINT (-111.9397868 33.4052208)
,2811,,,traffic_signals,tertiary,0,-111.8828725,33.4293548,POINT (-111.8828725 33.4293548)
,2812,2282,,,residential,0,-111.9359651,33.4051609,POINT (-111.9359651 33.4051609)
,2813,2283,,,residential,0,-111.9349115,33.405175,POINT (-111.9349115 33.405175)
,2814,2284,,turning_circle,residential,0,-111.9265971,33.3715665,POINT (-111.9265971 33.3715665)
,2815,2285,,,residential,0,-111.9226207,33.4053066,POINT (-111.9226207 33.4053066)
,2816,2286,,,residential,0,-111.9696778,33.3856637,POINT (-111.9696778 33.3856637)
,2817,2287,,,residential,0,-111.9179619,33.4408232,POINT (-111.9179619 33.4408232)
,2818,2288,,,residential,0,-111.9169857,33.4408658,POINT (-111.9169857 33.4408658)
,2819,2289,,,residential,0,-111.9717807,33.3854129,POINT (-111.9717807 33.3854129)
,2820,2290,,,residential,0,-111.9697738,33.3818891,POINT (-111.9697738 33.3818891)
,2821,2291,,,residential,0,-111.9722442,33.3850976,POINT (-111.9722442 33.3850976)
,2822,2292,,,residential,0,-111.9408275,33.326064,POINT (-111.9408275 33.326064)
,2823,2293,,,residential,0,-111.9412824,33.3264441,POINT (-111.9412824 33.3264441)
,2824,,,traffic_signals,tertiary,0,-111.9523921,33.4308867,POINT (-111.9523921 33.4308867)
,2825,2294,,,residential,0,-111.9581528,33.3260276,POINT (-111.9581528 33.3260276)
,2826,2295,,,residential,0,-111.9551945,33.3666188,POINT (-111.9551945 33.3666188)
,2827,2296,,,residential,0,-111.9436831,33.3864703,POINT (-111.9436831 33.3864703)
,2828,,,traffic_signals,secondary,0,-111.9631575,33.3401737,POINT (-111.9631575 33.3401737)
,2829,2297,,,residential,0,-111.9479816,33.3863906,POINT (-111.9479816 33.3863906)
,2830,2298,,turning_circle,residential,0,-111.9481962,33.3863834,POINT (-111.9481962 33.3863834)
,2831,2299,,,residential,0,-111.9522681,33.4254941,POINT (-111.9522681 33.4254941)
,2832,2300,,turning_circle,residential,0,-111.8997084,33.3604315,POINT (-111.8997084 33.3604315)
,2833,2301,,,residential,0,-111.9390854,33.3256948,POINT (-111.9390854 33.3256948)
,2834,2302,,,residential,0,-111.9553912,33.3787393,POINT (-111.9553912 33.3787393)
,2835,,,traffic_signals,primary,0,-111.9522189,33.4219154,POINT (-111.9522189 33.4219154)
,2836,2303,,,residential,0,-111.9522105,33.4211229,POINT (-111.9522105 33.4211229)
,2837,2304,,,residential,0,-111.9522048,33.4207558,POINT (-111.9522048 33.4207558)
,2838,,,motorway_junction,motorway,0,-111.8913143,33.3952819,POINT (-111.8913143 33.3952819)
