name,node_id,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,super_zone_id
,84,72,,traffic_signals,residential,0,-111.9608279,33.4146777,POINT (-111.9608279 33.4146777),4
,85,73,,,residential,0,-111.9263889,33.4490137,POINT (-111.9263889 33.4490137),4
,86,,,traffic_signals,secondary,0,-111.9263889,33.451236,POINT (-111.9263889 33.451236),4
,87,74,,,residential,0,-111.9162405,33.3693229,POINT (-111.9162405 33.3693229),5
,88,75,,turning_circle,residential,0,-111.91597,33.3686431,POINT (-111.91597 33.3686431),5
,89,76,,,residential,0,-111.9324477,33.3929047,POINT (-111.9324477 33.3929047),3
,90,77,,,residential,0,-111.9315426,33.392911,POINT (-111.9315426 33.392911),3
,91,78,,,residential,0,-111.9220538,33.3929578,POINT (-111.9220538 33.3929578),3
,92,79,,turning_circle,residential,0,-111.9180597,33.3543257,POINT (-111.9180597 33.3543257),5
,93,80,,,residential,0,-111.905253,33.3600764,POINT (-111.905253 33.3600764),5
,94,81,,,residential,0,-111.9210721,33.3929572,POINT (-111.9210721 33.3929572),3
,95,82,,turning_circle,residential,0,-111.9041373,33.3599942,POINT (-111.9041373 33.3599942),5
,96,83,,traffic_signals,residential,0,-111.9177482,33.3929647,POINT (-111.9177482 33.3929647),3
,97,,,traffic_signals,secondary,0,-111.8934773,33.334801,POINT (-111.8934773 33.334801),6
,98,84,,,residential,0,-111.9011531,33.3347516,POINT (-111.9011531 33.3347516),6
,99,85,,,residential,0,-111.9029126,33.3347373,POINT (-111.9029126 33.3347373),6
,100,86,,traffic_signals,residential,0,-111.9113718,33.392971,POINT (-111.9113718 33.392971),1
