name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id
,0,272613024,,,0,,,0,116.3461013,39.9486105,,
,1,272613025,,,0,,,0,116.3462236,39.9480214,,
,2,272613037,,,0,,,0,116.3480744,39.9416176,,
,3,272613044,,,0,,,0,116.3480197,39.9416053,,
,4,1088228054,,,0,,,0,116.3460778,39.9428879,,
,5,1088228058,,,0,,,0,116.3463313,39.9422551,,
,6,1088228073,,,0,,,0,116.3462093,39.9424207,,
,7,1088228122,,,0,,,0,116.3462911,39.9422366,,
,8,1088228185,,,0,,,0,116.3462506,39.9424387,,
,9,1090671408,,,0,,,0,116.3459627,39.9431678,,
,10,1090671696,,,0,,,0,116.3458438,39.9433506,,
,11,1093387555,,,0,,,0,116.346853,39.9408261,,
,12,1093387596,,,0,,,0,116.3468848,39.9408339,,
,13,1093387600,,,0,,,0,116.3467874,39.940809,,
,14,1093387650,,,0,,,0,116.3467523,39.9408006,,
,20,1252233663,,,0,,,0,116.3459245,39.9487661,,
,21,1252233680,,,0,,,0,116.3473003,39.9414613,,
,22,1252233730,,,0,,,0,116.3477657,39.9415467,,
,23,1252233762,,,0,,,0,116.3473656,39.9414749,,
,24,1252233788,,,0,,,0,116.3478455,39.941566,,
,25,1252233799,,,0,,,0,116.3475756,39.9415052,,
,26,1252233869,,,0,,,0,116.3455548,39.9465931,,
,27,1252233893,,,0,,,0,116.3459924,39.9485568,,
,28,1252233912,,,0,,,0,116.3475112,39.941488,,
,29,1252234745,,,0,,,0,116.3311916,39.9521347,,
,30,1252234748,,,0,,,0,116.332283,39.9522302,,
,31,1252234767,,,0,,,0,116.3418778,39.9564423,,
,33,1252234770,,,0,,,0,116.3334577,39.9530917,,
,34,1252234772,,,0,,,0,116.3316636,39.9521647,,
,35,1253535000,,,0,,,0,116.3465616,39.942564,,
,36,1253535093,,,0,,,0,116.3466909,39.9424253,,
,37,1259498731,,,0,,,0,116.3415026,39.9573729,,
,39,1305750647,,,0,,,0,116.3469688,39.9408501,,
,41,1349005580,,,0,,,0,116.3578948,39.9476783,,
,42,1349005611,,,0,,,0,116.3573042,39.9472875,,
,43,1349005619,,,0,,,0,116.3521609,39.943123,,
,44,1349005641,,,0,,,0,116.3525924,39.9432004,,
,45,1349005659,,,0,,,0,116.3579254,39.9476025,,
,46,1349005730,,,0,,,0,116.3572233,39.9473623,,
,47,1349005747,,,0,,,0,116.3521813,39.9430442,,
