name,osm_way_id,osm_relation_id,building,amenity,geometry,centroid
,114077707,,yes,,"POLYGON ((116.3533273 39.9446421, 116.3532739 39.9447566, 116.3539352 39.944938, 116.3539887 39.9448236, 116.3533273 39.9446421))",POINT (116.3536312449021 39.94479006462662)
,114077708,,yes,,"POLYGON ((116.353421 39.9442032, 116.3533611 39.9443226, 116.3542462 39.9445836, 116.3543061 39.9444642, 116.353421 39.9442032))",POINT (116.3538336 39.94439339999999)
,114077709,,yes,,"POLYGON ((116.3522265 39.9455476, 116.3522244 39.9453712, 116.3515112 39.9453762, 116.3515133 39.9455526, 116.3522265 39.9455476))",POINT (116.35186885 39.94546189999999)
,114077710,,yes,,"POLYGON ((116.3526629 39.9453792, 116.3526603 39.9455431, 116.3531887 39.9455481, 116.3531913 39.9453841, 116.3526629 39.9453792))",POINT (116.3529258268531 39.94546362529256)
西直门车站,122358007,,yes,,"POLYGON ((116.3469717 39.9455602, 116.3471938 39.9456045, 116.3474023 39.9449895, 116.3471802 39.9449452, 116.3469717 39.9455602))",POINT (116.347187 39.94527485)
,163050712,,yes,,"POLYGON ((116.3571232 39.9467084, 116.3570031 39.9467664, 116.3573179 39.947149, 116.357438 39.947091, 116.3571232 39.9467084))",POINT (116.35722055 39.94692870000001)
,163050713,,yes,,"POLYGON ((116.3578912 39.9467676, 116.3584539 39.9469776, 116.3585849 39.9467712, 116.3587273 39.9468244, 116.3585224 39.9471471, 116.3578173 39.946884, 116.3578912 39.9467676))",POINT (116.3583079889412 39.94694248712188)
地铁太平湖救援演练基地,163050729,,yes,,"POLYGON ((116.3575177 39.9471093, 116.357466 39.9471564, 116.3577966 39.947369, 116.3578482 39.9473218, 116.3575177 39.9471093))",POINT (116.3576571356354 39.94723913432959)
,163052027,,yes,,"POLYGON ((116.3570668 39.947436, 116.3569753 39.9475536, 116.3581362 39.9480838, 116.3582276 39.9479661, 116.3570668 39.947436))",POINT (116.3576015071085 39.94775989116474)
邱季端体育馆,172257584,,public,,"POLYGON ((116.3575476 39.9586775, 116.3575389 39.9580794, 116.3586529 39.95807, 116.3586587 39.9584765, 116.3583136 39.9584794, 116.3583163 39.958671, 116.3575476 39.9586775))",POINT (116.3580575312823 39.95835170040684)
图书馆,188600671,,yes,library,"POLYGON ((116.3369697 39.9506909, 116.3369858 39.9505799, 116.3373613 39.9504195, 116.3374472 39.9504319, 116.3374941 39.9504931, 116.3375759 39.9504606, 116.3376872 39.9504808, 116.3377476 39.950547, 116.3377194 39.9506329, 116.3376242 39.9506786, 116.3376872 39.9507275, 116.3376604 39.9508303, 116.337592 39.9508678, 116.3375169 39.9508636, 116.3374136 39.9509085, 116.3373828 39.9509665, 116.337313 39.9510035, 116.3372004 39.950987, 116.3371467 39.9509377, 116.3370877 39.9509706, 116.336959 39.9509541, 116.3369 39.9508801, 116.3369214 39.9507814, 116.3370234 39.9507526, 116.3369697 39.9506909))",POINT (116.3373177144966 39.95070972687203)
,188747187,,yes,,"POLYGON ((116.3322194 39.9454805, 116.3322382 39.9453266, 116.332485 39.9452843, 116.3326598 39.945304, 116.3327693 39.9453308, 116.3328647 39.9453962, 116.3328712 39.9454702, 116.3327935 39.9455638, 116.3326925 39.9455853, 116.3325386 39.9455813, 116.3323964 39.9455623, 116.3322194 39.9454805))",POINT (116.3325452904844 39.9454358605334)
,188747189,,yes,,"POLYGON ((116.3327693 39.9453308, 116.3328444 39.9452277, 116.333016 39.9452771, 116.3330053 39.9452154, 116.3329999 39.9451578, 116.3330214 39.9451125, 116.333075 39.9450714, 116.3331394 39.9450509, 116.3332145 39.9450509, 116.3332735 39.9450714, 116.3333325 39.9451125, 116.3333384 39.9451806, 116.3333277 39.9452505, 116.3332735 39.9453058, 116.3332579 39.9453411, 116.3333143 39.9453575, 116.3332601 39.9458076, 116.333126 39.9458693, 116.3329275 39.9458508, 116.3328605 39.9457871, 116.3327479 39.9457892, 116.3328712 39.9454702, 116.3328647 39.9453962, 116.3327693 39.9453308))",POINT (116.3330728444919 39.94547872103357)
,188747190,,yes,,"POLYGON ((116.3341452 39.9459783, 116.3337939 39.9459556, 116.333786 39.9459219, 116.3339146 39.9451619, 116.3338556 39.9450385, 116.3339576 39.9450139, 116.3338985 39.9448576, 116.3340595 39.9448329, 116.3342043 39.9448493, 116.3343712 39.9448927, 116.3342746 39.9450408, 116.3343706 39.9451002, 116.334296 39.9452053, 116.3341665 39.9459501, 116.3341452 39.9459783))",POINT (116.3340636823206 39.94539802532292)
,189309763,,yes,,"POLYGON ((116.3321852 39.9471252, 116.3322176 39.946894, 116.3325547 39.9469218, 116.3325223 39.9471529, 116.3321852 39.9471252))",POINT (116.3323699380966 39.94702347321915)
,189309764,,,parking,"POLYGON ((116.3334828 39.9459452, 116.3336223 39.9449131, 116.3338985 39.9448576, 116.3339576 39.9450139, 116.3338556 39.9450385, 116.3339146 39.9451619, 116.334296 39.9452053, 116.3341665 39.9459501, 116.333786 39.9459219, 116.3334828 39.9459452))",POINT (116.3338667294805 39.94547959585618)
,189309767,,,parking,"POLYGON ((116.3317555 39.9453491, 116.331793 39.9449255, 116.3328493 39.9449816, 116.3328444 39.9452277, 116.3327693 39.9453308, 116.3326598 39.945304, 116.332485 39.9452843, 116.3322382 39.9453266, 116.3322194 39.9454805, 116.3321948 39.9455553, 116.3320344 39.9455688, 116.3318676 39.9455533, 116.3318789 39.9453573, 116.3317555 39.9453491))",POINT (116.3322412610271 39.94518884851075)
,189309768,,yes,,"POLYGON ((116.3328069 39.9467862, 116.3331492 39.9468126, 116.3331151 39.9470726, 116.3327728 39.9470461, 116.3328069 39.9467862))",POINT (116.3329610107553 39.94692937666125)
,189309769,,yes,,"POLYGON ((116.3322442 39.9464258, 116.3329248 39.9464832, 116.3329063 39.9466124, 116.3322256 39.946555, 116.3322442 39.9464258))",POINT (116.3325752211176 39.94651910125442)
,189309770,,yes,,"POLYGON ((116.3314221 39.9464805, 116.3321565 39.9465447, 116.3321741 39.9464262, 116.3314397 39.946362, 116.3314221 39.9464805))",POINT (116.3317981 39.94645334999999)
,189309772,,yes,,"POLYGON ((116.3330109 39.9466311, 116.3336978 39.9466941, 116.3337176 39.9465669, 116.3330307 39.9465039, 116.3330109 39.9466311))",POINT (116.33336425 39.94659899999999)
,189309773,,yes,,"POLYGON ((116.3322194 39.9454805, 116.3321948 39.9455553, 116.3320344 39.9455688, 116.3318676 39.9455533, 116.3318789 39.9453573, 116.3317555 39.9453491, 116.3317072 39.9457848, 116.3318171 39.945793, 116.3318305 39.945682, 116.3320022 39.9456696, 116.3322082 39.9457506, 116.3323128 39.9457671, 116.3327479 39.9457892, 116.3328712 39.9454702, 116.3327935 39.9455638, 116.3326925 39.9455853, 116.3325386 39.9455813, 116.3323964 39.9455623, 116.3322194 39.9454805))",POINT (116.3322366077968 39.94563180197639)
,189309774,,yes,,"POLYGON ((116.3308039 39.9464268, 116.3313439 39.9464718, 116.3313604 39.9463554, 116.3308204 39.9463104, 116.3308039 39.9464268))",POINT (116.33108215 39.9463911)
智慧大厦,245180932,,yes,,"POLYGON ((116.3470524 39.9560256, 116.347489 39.9560191, 116.3474973 39.9563458, 116.3470606 39.9563522, 116.3470524 39.9560256))",POINT (116.3472748364533 39.95618568090738)
,245180940,,yes,,"POLYGON ((116.3273108 39.9584564, 116.3273243 39.9583144, 116.3280071 39.9583525, 116.3280127 39.9582931, 116.3285795 39.9583247, 116.3285681 39.9584448, 116.3280036 39.9584133, 116.3279959 39.9584946, 116.3273108 39.9584564))",POINT (116.327919495431 39.95838987245676)
中央财经大学,248393687,,,university,"POLYGON ((116.3340479 39.9566804, 116.3390097 39.9569535, 116.3390162 39.9572216, 116.3394048 39.957311, 116.3391457 39.9578968, 116.338906 39.9584579, 116.3386469 39.9590934, 116.3384202 39.9596048, 116.3370276 39.95958, 116.3359588 39.9594857, 116.3351029 39.9594222, 116.3349548 39.9594112, 116.3339572 39.9594261, 116.3330892 39.9594112, 116.333167 39.9589047, 116.333167 39.9585572, 116.3335103 39.9583983, 116.3335556 39.9572961, 116.3340479 39.9566804))",POINT (116.3361898045291 39.95815688045249)
主教学楼,248393768,,yes,,"POLYGON ((116.3359264 39.9583901, 116.3359325 39.9580257, 116.337194 39.9580164, 116.337194 39.9583854, 116.3359264 39.9583901))",POINT (116.3365630554405 39.95820454096866)
学术会堂,248394018,,yes,,"POLYGON ((116.3376511 39.9579042, 116.3376755 39.9572503, 116.3382178 39.9572689, 116.3381996 39.9579089, 116.3376511 39.9579042))",POINT (116.3379349962007 39.95758362118764)
,256453428,,yes,,"POLYGON ((116.3389509 39.9597389, 116.3394992 39.9599022, 116.3399916 39.9589307, 116.3394433 39.9587674, 116.3389509 39.9597389))",POINT (116.33947125 39.9593348)
,256453429,,yes,,"POLYGON ((116.3398372 39.9580265, 116.3403842 39.958182, 116.3400937 39.9587823, 116.3395466 39.9586267, 116.3398372 39.9580265))",POINT (116.3399654240039 39.95840438828652)
,256453431,,yes,,"POLYGON ((116.3403935 39.9575061, 116.3410087 39.957717, 116.3407847 39.9581009, 116.3401696 39.95789, 116.3403935 39.9575061))",POINT (116.3405891313432 39.95780349697409)
,256453432,,yes,,"POLYGON ((116.3423329 39.9564709, 116.3429659 39.9564792, 116.3430839 39.9558624, 116.3430303 39.9558254, 116.3427191 39.9557554, 116.3423329 39.9564709))",POINT (116.3427604401225 39.9561618019365)
,256453433,,yes,,"POLYGON ((116.3431483 39.9558706, 116.3434755 39.955887, 116.3434755 39.9563805, 116.3431215 39.9563805, 116.3431483 39.9558706))",POINT (116.3433041499255 39.9561328606265)
,256453434,,yes,,"POLYGON ((116.3434862 39.9557554, 116.344189 39.9557637, 116.3442373 39.9544067, 116.3436633 39.9544067, 116.3435345 39.9546164, 116.3434862 39.9557554))",POINT (116.3438680974318 39.9550928127685)
枫蓝国际中心,258041025,,commercial,,"POLYGON ((116.3502256 39.9520339, 116.3497213 39.9520339, 116.3497964 39.9514746, 116.3499037 39.9512854, 116.3501397 39.9511703, 116.3503758 39.9511456, 116.3503543 39.9510798, 116.3505474 39.9510551, 116.3505582 39.9509318, 116.3507407 39.9509318, 116.3509873 39.9509318, 116.3512341 39.9510387, 116.3513736 39.9511209, 116.3513414 39.9513265, 116.3513306 39.9517624, 116.3510302 39.9517624, 116.3508908 39.9517624, 116.3508693 39.9519516, 116.3507298 39.9520996, 116.3504509 39.9520421, 116.3502256 39.9520339))",POINT (116.3505618679006 39.95152017568809)
,262361663,,yes,,"POLYGON ((116.3537708 39.9405542, 116.3539793 39.9405611, 116.3542573 39.940571, 116.35425 39.940695, 116.3537635 39.9406781, 116.3537708 39.9405542))",POINT (116.3540104230253 39.94062450089366)
,262361664,,yes,,"POLYGON ((116.3537381 39.9408388, 116.3542332 39.9408689, 116.3542201 39.9409946, 116.353725 39.9409644, 116.3537381 39.9408388))",POINT (116.3539791326059 39.94091667720609)
,262361665,,yes,,"POLYGON ((116.3540156 39.9411403, 116.3545131 39.9411585, 116.3545061 39.9412708, 116.3540086 39.9412525, 116.3540156 39.9411403))",POINT (116.3542608868423 39.94120552646876)
,262361666,,yes,,"POLYGON ((116.3566427 39.9412943, 116.3573745 39.9413822, 116.357349 39.9415071, 116.3566172 39.9414192, 116.3566427 39.9412943))",POINT (116.35699585 39.9414007)
,262361667,,yes,,"POLYGON ((116.3567458 39.9416341, 116.3573238 39.9417043, 116.3572983 39.941828, 116.3567202 39.9417578, 116.3567458 39.9416341))",POINT (116.3570220200273 39.9417310511794)
,262361668,,yes,,"POLYGON ((116.3567085 39.9420426, 116.3572746 39.9421061, 116.3572496 39.9422367, 116.3566836 39.9421731, 116.3567085 39.9420426))",POINT (116.3569791146356 39.94213962789522)
,262361669,,yes,,"POLYGON ((116.3566472 39.9423398, 116.3572343 39.9424027, 116.3572118 39.9425263, 116.3566247 39.9424633, 116.3566472 39.9423398))",POINT (116.3569295387839 39.94243302947785)
,262361670,,yes,,"POLYGON ((116.3563679 39.9425909, 116.3571122 39.9427051, 116.3570839 39.9428134, 116.3563396 39.9426993, 116.3563679 39.9425909))",POINT (116.3567258450393 39.94270216625407)
