name,osm_way_id,osm_relation_id,building,amenity,geometry,centroid
建筑与艺术楼,276200626,,school,,"POLYGON ((116.3323223 39.9501243, 116.3323913 39.9500059, 116.3331248 39.9501285, 116.3330779 39.9503146, 116.3323692 39.9501856, 116.3323223 39.9501243))",POINT (116.3327310151406 39.95015690824323)
9号公寓,276200628,,apartments,,"POLYGON ((116.332485 39.9495366, 116.3325319 39.9494034, 116.3332737 39.9495387, 116.3332379 39.9496909, 116.332485 39.9495366))",POINT (116.3328890152352 39.94954399921642)
8号公寓,276201135,,apartments,,"POLYGON ((116.3325926 39.9491772, 116.3326312 39.9490504, 116.3333868 39.949173, 116.3333399 39.9493104, 116.3325926 39.9491772))",POINT (116.3329930441067 39.94917860101749)
7号公寓,276201136,,apartments,,"POLYGON ((116.3326919 39.9488517, 116.332736 39.94871, 116.333475 39.9488305, 116.3334309 39.9489996, 116.3326919 39.9488517))",POINT (116.3330937393986 39.94884995477982)
12号学生公寓,276201137,,apartments,,"POLYGON ((116.3327856 39.9484986, 116.3328215 39.9483633, 116.3335715 39.9484838, 116.3335412 39.948636, 116.3327856 39.9484986))",POINT (116.333186609206 39.94849671671597)
19号学生公寓,276201138,,apartments,,"POLYGON ((116.33285 39.9481519, 116.3329272 39.9478517, 116.3334539 39.9476403, 116.3338152 39.9477143, 116.3337628 39.947839, 116.3337545 39.9478834, 116.3335035 39.9478327, 116.3332057 39.9479722, 116.3331395 39.9479785, 116.333123 39.948061, 116.3336166 39.9481244, 116.3335918 39.9483083, 116.3328693 39.9481836, 116.33285 39.9481519))",POINT (116.3332911761166 39.94796638152003)
2号学生公寓,276201139,,apartments,,"POLYGON ((116.3338749 39.9479616, 116.3339162 39.9478602, 116.3347739 39.948006, 116.3347435 39.9481561, 116.3338887 39.9479955, 116.3338749 39.9479616))",POINT (116.3343331042845 39.94800504491053)
天佑会堂,276201140,,yes,,"POLYGON ((116.3336653 39.9487269, 116.333737 39.9484373, 116.3338611 39.9484563, 116.3338749 39.9484077, 116.3340155 39.9484331, 116.3339879 39.948469, 116.3345532 39.9485472, 116.3344154 39.9488495, 116.3336405 39.9487544, 116.3336653 39.9487269))",POINT (116.3340860146353 39.94864052253521)
第四教学楼,276201142,,school,,"POLYGON ((116.3334667 39.9493442, 116.3335412 39.9491645, 116.3343905 39.9493125, 116.3343133 39.9495155, 116.3334667 39.9493442))",POINT (116.3339360611076 39.94933582975704)
第七教学楼,276202111,,school,,"POLYGON ((116.3352371 39.9497501, 116.3352895 39.9496233, 116.3363898 39.9497924, 116.3363292 39.9499657, 116.3352316 39.9497734, 116.3352371 39.9497501))",POINT (116.3358218395982 39.94979073941721)
东阶梯教室,276202112,,school,,"POLYGON ((116.3363678 39.9494076, 116.3364119 39.9492745, 116.3367069 39.9493252, 116.3366766 39.9494647, 116.336627 39.9494774, 116.3364008 39.9494457, 116.3363678 39.9494076))",POINT (116.3365366713528 39.9493797669634)
第九教学楼,276202113,,school,,"POLYGON ((116.3354936 39.9486064, 116.3356673 39.9480948, 116.3368669 39.9482914, 116.3367069 39.9489024, 116.3355625 39.9487312, 116.3354936 39.9486064))",POINT (116.3361762383649 39.94850106233272)
嘉园A座,276202114,,apartments,,"POLYGON ((116.3357709 39.9475993, 116.3359189 39.947119, 116.3362115 39.9471665, 116.3360738 39.9476917, 116.3357606 39.9476389, 116.3357709 39.9475993))",POINT (116.3359899501944 39.94740719905838)
嘉园B座,276202115,,apartments,,"POLYGON ((116.3359809 39.9471507, 116.3360222 39.9470345, 116.3362184 39.94709, 116.3362597 39.9470741, 116.3369723 39.9472932, 116.3369792 39.9473407, 116.3370962 39.9473723, 116.3370377 39.9475254, 116.3360257 39.9472536, 116.3359809 39.9471507))",POINT (116.3365228063062 39.94727536124452)
嘉园C座,276202116,,yes,,"POLYGON ((116.3367623 39.9477735, 116.3369413 39.9475281, 116.3372374 39.9475756, 116.3371135 39.9479688, 116.3367899 39.9479054, 116.3367623 39.9477735))",POINT (116.3369998810424 39.94774653060288)
留园公寓,276202117,,apartments,,"POLYGON ((116.3371066 39.9489004, 116.3371272 39.9487763, 116.3378708 39.9488898, 116.3378226 39.9490244, 116.3371066 39.9489004))",POINT (116.3374886493672 39.94889847309175)
专家楼,276202118,,school,,"POLYGON ((116.3371238 39.9486074, 116.3371582 39.9484596, 116.3379534 39.9485942, 116.3379293 39.9487526, 116.3371238 39.9486074))",POINT (116.3375448482042 39.94860428854513)
,276433860,,yes,,"POLYGON ((116.3370966 39.9424992, 116.3372466 39.9424992, 116.3372466 39.9424405, 116.3378593 39.9424405, 116.3378593 39.9423154, 116.3370966 39.9423153, 116.3370966 39.9424992))",POINT (116.3374520307638 39.94238568850791)
,276433861,,yes,,"POLYGON ((116.3370716 39.9427991, 116.3378174 39.9428022, 116.3378183 39.9426886, 116.3370724 39.9426854, 116.3370716 39.9427991))",POINT (116.3374448705531 39.94274382349075)
,276433862,,yes,,"POLYGON ((116.3369619 39.943173, 116.3378406 39.9431806, 116.3378424 39.9430591, 116.3369637 39.9430515, 116.3369619 39.943173))",POINT (116.33740215 39.94311605)
,276433863,,yes,,"POLYGON ((116.3369328 39.9436376, 116.3370922 39.9436383, 116.3370928 39.943552, 116.337833 39.9435553, 116.3378338 39.9434445, 116.3369343 39.9434405, 116.3369328 39.9436376))",POINT (116.3373386734369 39.94350964963287)
,276433864,,yes,,"POLYGON ((116.3369498 39.9439557, 116.3378304 39.9439664, 116.337833 39.9438402, 116.3369525 39.9438295, 116.3369498 39.9439557))",POINT (116.3373914242685 39.94389795118543)
,276433865,,yes,,"POLYGON ((116.3370118 39.9447731, 116.3377244 39.9445561, 116.3375446 39.9442524, 116.3370118 39.9442447, 116.3370118 39.9447731))",POINT (116.3373023942055 39.94447277748471)
,276433866,,yes,,"POLYGON ((116.3378539 39.9445549, 116.3377696 39.9444008, 116.3406036 39.943489, 116.340688 39.9436431, 116.3378539 39.9445549))",POINT (116.3392288171355 39.94402193689684)
,276433867,,yes,,"POLYGON ((116.3410743 39.94353, 116.3409881 39.9433719, 116.3416672 39.9431542, 116.3417534 39.9433122, 116.3410743 39.94353))",POINT (116.3413707200146 39.94334208567246)
,276433868,,yes,,"POLYGON ((116.3419489 39.9432929, 116.341861 39.9431365, 116.3425321 39.9429145, 116.3426201 39.9430709, 116.3419489 39.9432929))",POINT (116.3422405358942 39.94310369833838)
,276433869,,yes,,"POLYGON ((116.3427593 39.9430614, 116.3426745 39.9429149, 116.3433571 39.9426826, 116.3434419 39.9428291, 116.3427593 39.9430614))",POINT (116.3430582 39.94287199999999)
,276433870,,yes,,"POLYGON ((116.3436155 39.9426193, 116.3434194 39.9422266, 116.343876 39.9420785, 116.3439989 39.942074, 116.3441511 39.9420987, 116.3442214 39.9421346, 116.3444965 39.942267, 116.3442682 39.9423972, 116.3436155 39.9426193))",POINT (116.3439013067429 39.94231146934511)
11号楼,276433871,,apartments,,"POLYGON ((116.3382616 39.9424951, 116.3382818 39.9423688, 116.3388447 39.9424217, 116.3388245 39.942548, 116.3382616 39.9424951))",POINT (116.33855315 39.9424584)
,276433872,,yes,,"POLYGON ((116.3389366 39.9425215, 116.338956 39.9424067, 116.3395173 39.9424623, 116.3394979 39.9425772, 116.3389366 39.9425215))",POINT (116.3392269900084 39.94249192925464)
,276433873,,yes,,"POLYGON ((116.3396369 39.9425608, 116.3396525 39.9424505, 116.3402029 39.9424963, 116.3401873 39.9426065, 116.3396369 39.9425608))",POINT (116.3399198589142 39.94252852134871)
,276433874,,yes,,"POLYGON ((116.3393822 39.9429838, 116.3393813 39.942878, 116.3400826 39.9428744, 116.3400835 39.9429803, 116.3393822 39.9429838))",POINT (116.3397324552093 39.94292912470983)
,276433875,,yes,,"POLYGON ((116.3384196 39.9428361, 116.3387226 39.9428313, 116.3387211 39.9427745, 116.3391965 39.9427669, 116.3392 39.9428936, 116.3387163 39.9429014, 116.3387177 39.9429515, 116.3384229 39.9429563, 116.3384196 39.9428361))",POINT (116.3388148646675 39.94285625261536)
,276433876,,yes,,"POLYGON ((116.3383064 39.9432129, 116.3385973 39.9432136, 116.3385974 39.9431859, 116.3388322 39.9431864, 116.3388323 39.9431544, 116.3390666 39.9431549, 116.3390661 39.943276, 116.3388341 39.9432755, 116.338834 39.9433032, 116.338588 39.9433027, 116.3385879 39.9433347, 116.338306 39.943334, 116.3383064 39.9432129))",POINT (116.3386863398337 39.94324652632756)
,276433877,,yes,,"POLYGON ((116.3381047 39.9437477, 116.3383901 39.9437461, 116.3383899 39.9437181, 116.3386336 39.9437168, 116.3386333 39.943691, 116.3388715 39.9436897, 116.3388703 39.9435647, 116.338643 39.9435659, 116.3386433 39.9435939, 116.3384023 39.9435952, 116.3384026 39.9436253, 116.3381036 39.9436269, 116.3381047 39.9437477))",POINT (116.3384904395444 39.94365874241659)
,276433878,,yes,,"POLYGON ((116.3392073 39.9432958, 116.3394356 39.9432955, 116.3393926 39.9432448, 116.3398348 39.9432607, 116.3398351 39.9433837, 116.3394342 39.9433843, 116.3394343 39.9434164, 116.3392075 39.9434167, 116.3392073 39.9432958))",POINT (116.3395228553446 39.94333070095327)
,276433880,,yes,,"POLYGON ((116.3403035 39.9433942, 116.3407302 39.9432574, 116.3406939 39.943174, 116.3406493 39.9431933, 116.3406214 39.9431035, 116.3407023 39.9430971, 116.3407051 39.943018, 116.3406632 39.943018, 116.3406632 39.9429667, 116.3404959 39.943003, 116.340521 39.94305, 116.3404959 39.9430607, 116.3404653 39.9430158, 116.3403314 39.9430842, 116.340376 39.9431249, 116.3403426 39.9431548, 116.3403008 39.9431462, 116.3402561 39.9431548, 116.3402171 39.9431804, 116.3402032 39.9432211, 116.3402227 39.9432553, 116.3402645 39.9432766, 116.3403119 39.9432831, 116.3403231 39.9433044, 116.3402645 39.9433215, 116.3403035 39.9433942))",POINT (116.3404780942598 39.94318508703508)
,276433883,,yes,,"POLYGON ((116.3410762 39.9428691, 116.3410007 39.9427197, 116.3413943 39.942677, 116.341613 39.9426313, 116.3421578 39.9424728, 116.3425395 39.9423783, 116.3428298 39.9422929, 116.3431161 39.9422411, 116.3432036 39.9423874, 116.3429252 39.9424332, 116.3426111 39.9425216, 116.3422492 39.9426191, 116.3418874 39.942738, 116.3416806 39.9427807, 116.341458 39.9428264, 116.3410762 39.9428691))",POINT (116.3421003059362 39.94257290784956)
,276433924,,yes,,"POLYGON ((116.3494352 39.9473249, 116.3496947 39.947326, 116.3497007 39.9464813, 116.3494413 39.9464803, 116.3494352 39.9473249))",POINT (116.3495679773536 39.94690315233334)
,276433925,,yes,,"POLYGON ((116.3494155 39.9457238, 116.3496677 39.9457256, 116.3496638 39.9460371, 116.3497116 39.9460374, 116.3497076 39.946359, 116.3494501 39.9463571, 116.3494539 39.9460478, 116.3494115 39.9460475, 116.3494155 39.9457238))",POINT (116.3495603861256 39.94604302989377)
北京邮电大学,279303636,,,university,"POLYGON ((116.348767 39.9635742, 116.3509132 39.9636335, 116.3547674 39.9637401, 116.3551499 39.9566326, 116.3490685 39.9567234, 116.348767 39.9635742))",POINT (116.3519570705207 39.96016109542784)
一号宿舍楼,287661510,,apartments,,"POLYGON ((116.3369598 39.9494967, 116.3369937 39.9493514, 116.3377024 39.9494542, 116.3376592 39.9496089, 116.3369598 39.9494967))",POINT (116.3373328775467 39.94947830418475)
电气工程楼,287661745,,yes,,"POLYGON ((116.3384389 39.94988, 116.3385037 39.949649, 116.3391435 39.9497671, 116.3390688 39.9502469, 116.3388633 39.9502111, 116.3389233 39.9499517, 116.3384389 39.94988))",POINT (116.3388450633877 39.94989210077252)
机械实验馆,287661839,,school,,"POLYGON ((116.338499 39.9495559, 116.3386251 39.9491693, 116.3392649 39.9492981, 116.3391435 39.9496705, 116.338499 39.9495559))",POINT (116.3388811198848 39.94942307341739)
机械楼,287661858,,yes,,"POLYGON ((116.3392883 39.9497186, 116.3393523 39.9495049, 116.3401218 39.9496402, 116.3400578 39.949854, 116.3397965 39.9498094, 116.3398295 39.9499653, 116.3395916 39.9499798, 116.3393606 39.9498868, 116.3395054 39.9497579, 116.3392883 39.9497186))",POINT (116.3396791264378 39.9497362571312)
土木工程楼,287661893,,school,,"POLYGON ((116.3393906 39.9490511, 116.339428 39.9489294, 116.340376 39.9491156, 116.3403246 39.9492337, 116.3402499 39.9492194, 116.3402312 39.9492731, 116.3395587 39.9491728, 116.3395774 39.9490905, 116.3393906 39.9490511))",POINT (116.3398791244598 39.94911146227298)
逸夫教学楼&研究生院,287661916,,yes,,"POLYGON ((116.3382967 39.9503681, 116.338367 39.9501313, 116.3397167 39.9503668, 116.3396464 39.9506036, 116.3382967 39.9503681))",POINT (116.3390067 39.95036744999999)
22号学生公寓,287662019,,yes,,"POLYGON ((116.3317991 39.9487035, 116.3318579 39.9484869, 116.332088 39.9483192, 116.332603 39.9480872, 116.3326665 39.9481616, 116.3326665 39.9482415, 116.332307 39.9484128, 116.332148 39.9484885, 116.332025 39.9485514, 116.3319464 39.9486215, 116.331897 39.9487217, 116.3317991 39.9487035))",POINT (116.3322243843117 39.94837215547376)
20号宿舍楼,287662861,,yes,,"POLYGON ((116.3320569 39.9486148, 116.3324952 39.9486997, 116.3324503 39.9488358, 116.3320121 39.948751, 116.3320569 39.9486148))",POINT (116.3322536057321 39.9487253178278)
体育馆,287662866,,school,,"POLYGON ((116.3304757 39.9506886, 116.3305691 39.9503127, 116.3306345 39.9502912, 116.3311108 39.9503736, 116.3311388 39.9504201, 116.3310314 39.9507817, 116.3309427 39.9508139, 116.330499 39.9507387, 116.3304757 39.9506886))",POINT (116.3308020940627 39.95055312106112)
主席台,287662943,,house,,"POLYGON ((116.3308506 39.9514204, 116.3311476 39.9504542, 116.3312849 39.950479, 116.3309878 39.9514452, 116.3308506 39.9514204))",POINT (116.3310677422893 39.9509496444598)
游泳馆,287663004,,yes,,"POLYGON ((116.3321605 39.9519657, 116.3322975 39.9514903, 116.3329242 39.9515964, 116.3327871 39.9520718, 116.3321605 39.9519657))",POINT (116.332542328511 39.95178104427248)
运输设备教学馆,287663142,,yes,,"POLYGON ((116.3358728 39.9514946, 116.3360111 39.9515162, 116.3359859 39.9516112, 116.3364608 39.9516853, 116.3364836 39.9515993, 116.3365926 39.9516163, 116.3364728 39.9520677, 116.3357506 39.951955, 116.3358728 39.9514946))",POINT (116.3361615932128 39.95181018307069)
,288938200,,apartments,,"POLYGON ((116.3477095 39.9557065, 116.3469737 39.9557275, 116.3469782 39.9558217, 116.347714 39.9558008, 116.3477095 39.9557065))",POINT (116.3473439149667 39.95576412309928)
,293130108,,yes,,"POLYGON ((116.3339488 39.9522577, 116.3339951 39.9521062, 116.3346665 39.9522269, 116.3346201 39.9523784, 116.3339488 39.9522577))",POINT (116.3343076318384 39.95224229934891)
,293130109,,yes,,"POLYGON ((116.3338862 39.9524706, 116.3338527 39.9525895, 116.3345356 39.9527023, 116.334569 39.9525833, 116.3338862 39.9524706))",POINT (116.3342109126677 39.95258643307942)
,293130110,,yes,,"POLYGON ((116.333794 39.9528021, 116.3344552 39.9529047, 116.3344201 39.9530373, 116.3337589 39.9529346, 116.333794 39.9528021))",POINT (116.3341070898152 39.95291968162361)
,293130111,,yes,,"POLYGON ((116.3340484 39.9518362, 116.3344283 39.9518989, 116.3347217 39.9519477, 116.3346932 39.9520489, 116.3340199 39.9519374, 116.3340484 39.9518362))",POINT (116.3343708286999 39.95194250166065)
,293130112,,yes,,"POLYGON ((116.3346121 39.9529431, 116.3353307 39.9530526, 116.3352939 39.9531944, 116.3345754 39.9530849, 116.3346121 39.9529431))",POINT (116.3349530316006 39.95306874936136)
,293130113,,yes,,"POLYGON ((116.3346685 39.9527453, 116.334701 39.9526216, 116.3354326 39.9527345, 116.3354001 39.9528581, 116.3346685 39.9527453))",POINT (116.3350505027088 39.95273986733509)
,293130114,,yes,,"POLYGON ((116.3347367 39.9524131, 116.335478 39.9525261, 116.3355157 39.9523809, 116.3347744 39.9522679, 116.3347367 39.9524131))",POINT (116.3351262 39.952397)
,293130115,,yes,,"POLYGON ((116.334815 39.9520893, 116.3348529 39.9519594, 116.3355954 39.9520866, 116.3355575 39.9522165, 116.334815 39.9520893))",POINT (116.3352052 39.95208795)
,297832871,,yes,,"POLYGON ((116.3576047 39.9456299, 116.3576579 39.9455419, 116.3583177 39.9457766, 116.3582644 39.9458646, 116.3576047 39.9456299))",POINT (116.357961193842 39.94570325559134)
,297832872,,yes,,"POLYGON ((116.3574125 39.9459744, 116.3574651 39.9458909, 116.3581165 39.9461326, 116.3580638 39.9462161, 116.3574125 39.9459744))",POINT (116.3577644950939 39.94605350638805)
,301610157,,yes,,"POLYGON ((116.3267077 39.947332, 116.3279228 39.9474375, 116.3278877 39.9476753, 116.3266726 39.9475698, 116.3267077 39.947332))",POINT (116.3272977 39.94750365)
,301610158,,yes,,"POLYGON ((116.3267693 39.9470656, 116.3278649 39.9471648, 116.3278972 39.9469547, 116.3268016 39.9468555, 116.3267693 39.9470656))",POINT (116.32733325 39.94701015)
,302188926,,yes,,"POLYGON ((116.3191295 39.9442997, 116.3193338 39.9443099, 116.3193576 39.94403, 116.3193105 39.9440276, 116.3193208 39.9439065, 116.3191637 39.9438986, 116.3191295 39.9442997))",POINT (116.3192419478237 39.94411446529857)
,302188946,,yes,,"POLYGON ((116.3191861 39.9437038, 116.3194048 39.9437179, 116.3194944 39.9428996, 116.3196331 39.9429085, 116.319629 39.9429462, 116.3196341 39.943063, 116.3198402 39.9430763, 116.3198748 39.9427978, 116.3194154 39.9427683, 116.3194121 39.9427981, 116.3192861 39.94279, 116.3191861 39.9437038))",POINT (116.3194485824738 39.94315225757997)
,302188947,,yes,,"POLYGON ((116.3195797 39.9437082, 116.3196341 39.943063, 116.3198402 39.9430763, 116.319778 39.943722, 116.3195797 39.9437082))",POINT (116.3197082117451 39.9433903263146)
,305570852,,,school,"POLYGON ((116.3218627 39.9566711, 116.3219423 39.9560301, 116.322736 39.956088, 116.3226564 39.956729, 116.3218627 39.9566711))",POINT (116.32229935 39.95637955)
,305570853,,,community_centre,"POLYGON ((116.3198681 39.9571863, 116.3204659 39.957222, 116.3204486 39.9573919, 116.3198509 39.9573563, 116.3198681 39.9571863))",POINT (116.3201583478671 39.957289120772)
,305570854,,,kindergarten,"POLYGON ((116.3217161 39.9581044, 116.321815 39.9572789, 116.322728 39.9573432, 116.322629 39.9581687, 116.3217161 39.9581044))",POINT (116.3222220265393 39.95772379257332)
,305570856,,,library,"POLYGON ((116.3197842 39.9581639, 116.3207488 39.9582302, 116.320661 39.958981, 116.3196963 39.9589147, 116.3197842 39.9581639))",POINT (116.3202225735171 39.95857245638404)
,305570858,,yes,police,"POLYGON ((116.3217929 39.9571575, 116.3219792 39.9571696, 116.3219837 39.9571288, 116.3218563 39.9571205, 116.321892 39.9567964, 116.3218332 39.9567926, 116.3217929 39.9571575))",POINT (116.32185714266 39.95700976654482)
,305570859,,,restaurant,"POLYGON ((116.3214503 39.957392, 116.3214077 39.9579012, 116.3215386 39.9579076, 116.3215927 39.9572607, 116.320818 39.9572226, 116.3208065 39.9573603, 116.3214503 39.957392))",POINT (116.3213129730782 39.95744096935153)
,305570862,,yes,,"POLYGON ((116.3228615 39.9572104, 116.3228727 39.9570988, 116.3235753 39.9571404, 116.3235641 39.957252, 116.3228615 39.9572104))",POINT (116.3232184 39.95717539999999)
,305570865,,yes,,"POLYGON ((116.3220393 39.9571542, 116.3220506 39.9570426, 116.3227532 39.9570842, 116.3227419 39.9571958, 116.3220393 39.9571542))",POINT (116.32239625 39.9571192)
,305570867,,yes,,"POLYGON ((116.3229872 39.956263, 116.3229984 39.9561514, 116.323701 39.956193, 116.3236898 39.9563046, 116.3229872 39.956263))",POINT (116.3233441 39.956228)
,305570869,,yes,,"POLYGON ((116.3229505 39.9565721, 116.3229618 39.9564605, 116.3236644 39.9565021, 116.3236531 39.9566137, 116.3229505 39.9565721))",POINT (116.32330745 39.9565371)
,305570870,,yes,,"POLYGON ((116.3236998 39.9575936, 116.3237111 39.957482, 116.3244137 39.9575236, 116.3244024 39.9576352, 116.3236998 39.9575936))",POINT (116.32405675 39.9575586)
,305570871,,yes,,"POLYGON ((116.3237936 39.9569414, 116.3238049 39.9568298, 116.3245075 39.9568714, 116.3244963 39.956983, 116.3237936 39.9569414))",POINT (116.3241505717795 39.95690640113289)
,305570874,,yes,,"POLYGON ((116.3229086 39.9568812, 116.3229199 39.9567696, 116.3236225 39.9568112, 116.3236112 39.9569228, 116.3229086 39.9568812))",POINT (116.32326555 39.9568462)
,305570876,,yes,,"POLYGON ((116.3228043 39.9578706, 116.3228156 39.957759, 116.3235182 39.9578006, 116.3235069 39.9579122, 116.3228043 39.9578706))",POINT (116.32316125 39.9578356)
,305570878,,yes,,"POLYGON ((116.3236331 39.9582606, 116.3236444 39.9581491, 116.324347 39.9581907, 116.3243357 39.9583022, 116.3236331 39.9582606))",POINT (116.32399005 39.95822565)
,305570880,,yes,,"POLYGON ((116.3236684 39.9579228, 116.3236797 39.9578112, 116.3243823 39.9578528, 116.324371 39.9579644, 116.3236684 39.9579228))",POINT (116.32402535 39.9578878)
,305570882,,yes,,"POLYGON ((116.3237518 39.9572666, 116.323763 39.957155, 116.3244656 39.9571966, 116.3244544 39.9573082, 116.3237518 39.9572666))",POINT (116.3241087 39.95723159999999)
,305570888,,yes,,"POLYGON ((116.3227991 39.9582037, 116.3228103 39.9580922, 116.3235129 39.9581338, 116.3235017 39.9582453, 116.3227991 39.9582037))",POINT (116.323156 39.95816875)
,305570889,,yes,,"POLYGON ((116.3238355 39.9566323, 116.3238468 39.9565207, 116.3245494 39.9565623, 116.3245382 39.9566739, 116.3238355 39.9566323))",POINT (116.3241924717794 39.95659730113289)
,305570890,,yes,,"POLYGON ((116.323878 39.9563207, 116.3238893 39.9562091, 116.3245919 39.9562507, 116.3245806 39.9563623, 116.323878 39.9563207))",POINT (116.32423495 39.9562857)
,305570891,,yes,,"POLYGON ((116.322841 39.9575374, 116.3228522 39.9574258, 116.3235548 39.9574674, 116.3235436 39.957579, 116.322841 39.9575374))",POINT (116.3231979 39.9575024)
,305570892,,yes,,"POLYGON ((116.3208121 39.9587022, 116.3213209 39.9587402, 116.3212914 39.9589719, 116.3211492 39.9589613, 116.3211554 39.9589124, 116.3207889 39.9588851, 116.3208121 39.9587022))",POINT (116.3210665831438 39.95882162918352)
,305570893,,yes,,"POLYGON ((116.3208607 39.9582931, 116.3208221 39.958621, 116.3210112 39.958634, 116.3210356 39.9584261, 116.3213976 39.9584512, 116.3214117 39.9583311, 116.3208607 39.9582931))",POINT (116.3210545127404 39.95842856841354)
,328505992,,yes,,"POLYGON ((116.3572784 39.9496488, 116.3580583 39.9500086, 116.3581603 39.9498786, 116.3573804 39.9495189, 116.3572784 39.9496488))",POINT (116.3577193860904 39.94976374273753)
,328505994,,yes,,"POLYGON ((116.3570473 39.9499083, 116.3578411 39.9502699, 116.3579375 39.9501456, 116.3571436 39.949784, 116.3570473 39.9499083))",POINT (116.357492393664 39.95002695719666)
交大知行大厦,343659185,,yes,,"POLYGON ((116.331502 39.9488083, 116.3316168 39.9488645, 116.3315698 39.9489209, 116.3316541 39.9489622, 116.3310661 39.9496681, 116.3309542 39.9496133, 116.330997 39.949562, 116.3309099 39.9495193, 116.331502 39.9488083))",POINT (116.3312834348985 39.94923871661224)
校医院,344373140,,,hospital,"POLYGON ((116.3503231 39.9584279, 116.3507836 39.9584378, 116.3507888 39.9584161, 116.3509509 39.958422, 116.3509531 39.9586226, 116.3507555 39.9586109, 116.3507061 39.9586109, 116.3505845 39.9586051, 116.3505199 39.9586051, 116.3503451 39.9585993, 116.3503231 39.9584279))",POINT (116.3506523614949 39.95851864844523)
,344376258,,yes,,"POLYGON ((116.3503833 39.9582815, 116.3507893 39.9582986, 116.350795 39.958197, 116.3503907 39.9581794, 116.3503833 39.9582815))",POINT (116.3505893834018 39.9582391517348)
,344376259,,university,,"POLYGON ((116.3510287 39.9582097, 116.3503536 39.9581822, 116.3503993 39.9577263, 116.3510595 39.9577461, 116.3510287 39.9582097))",POINT (116.3507110664306 39.95796699481927)
,344376260,,university,,"POLYGON ((116.3504518 39.957641, 116.3509533 39.9576584, 116.3509723 39.9575303, 116.3504632 39.9575128, 116.3504518 39.957641))",POINT (116.350710222167 39.95758546662079)
,344376261,,university,,"POLYGON ((116.35041 39.9572769, 116.3510407 39.9572944, 116.3510401 39.9571939, 116.350406 39.9571727, 116.35041 39.9572769))",POINT (116.3507223461568 39.95723437354228)
,344376262,,university,,"POLYGON ((116.3494067 39.9585993, 116.3501134 39.9586197, 116.3501134 39.9584799, 116.3494181 39.9584595, 116.3494067 39.9585993))",POINT (116.3497627538222 39.95853978520395)
,344376263,,university,,"POLYGON ((116.3494907 39.9583485, 116.3501076 39.9583608, 116.350113 39.9582375, 116.3495019 39.9582205, 116.3494907 39.9583485))",POINT (116.3498013266583 39.95829187153183)
,344376264,,university,,"POLYGON ((116.3495066 39.9580504, 116.3501411 39.9580795, 116.3501601 39.9579659, 116.3495066 39.9579339, 116.3495066 39.9580504))",POINT (116.3498276948844 39.95800709563725)
,344376265,,university,,"POLYGON ((116.3495203 39.9576905, 116.3501586 39.9577079, 116.350162 39.9575979, 116.3495251 39.9575703, 116.3495203 39.9576905))",POINT (116.3498367739777 39.95764149882032)
,344376266,,university,,"POLYGON ((116.3495209 39.9572682, 116.3501706 39.9572856, 116.3501734 39.9571663, 116.3495198 39.9571472, 116.3495209 39.9572682))",POINT (116.3498454565843 39.9572167447725)
,344376267,,university,,"POLYGON ((116.3492208 39.9569519, 116.3493275 39.9569511, 116.3506579 39.9569413, 116.3506579 39.956797, 116.349218 39.9568076, 116.3492208 39.9569519))",POINT (116.3499386417685 39.9568744234103)
,344376268,,university,,"POLYGON ((116.3507936 39.9569434, 116.3516022 39.9569413, 116.351605 39.9567991, 116.3507964 39.9568055, 116.3507936 39.9569434))",POINT (116.3512013690847 39.95687231536572)
,344376269,,university,,"POLYGON ((116.3491191 39.9589237, 116.3491932 39.9589876, 116.3493044 39.9589237, 116.3492998 39.9585687, 116.3491377 39.9585651, 116.3491191 39.9589237))",POINT (116.3492141927255 39.95876632173435)
,344376270,,university,,"POLYGON ((116.3491823 39.9584834, 116.3492842 39.958487, 116.3493213 39.9580148, 116.3492147 39.9580077, 116.3491823 39.9584834))",POINT (116.3492507026579 39.9582463511356)
,344376271,,university,,"POLYGON ((116.3492047 39.9579403, 116.349302 39.9579403, 116.3493297 39.9574965, 116.3492232 39.9574859, 116.3492047 39.9579403))",POINT (116.3492648927381 39.95771217047608)
,344376272,,university,,"POLYGON ((116.3492164 39.9574078, 116.3493229 39.9574078, 116.3493275 39.9569511, 116.3492208 39.9569519, 116.3492164 39.9574078))",POINT (116.3492719162363 39.95717958141186)
,344376663,,university,,"POLYGON ((116.351277 39.9586594, 116.3523246 39.9586907, 116.3523432 39.9585683, 116.3512918 39.9585484, 116.351277 39.9586594))",POINT (116.3518177358591 39.95861688933586)
,344376664,,university,,"POLYGON ((116.3513587 39.9582892, 116.3523915 39.9583205, 116.3523952 39.9581981, 116.3513698 39.9581668, 116.3513587 39.9582892))",POINT (116.3518786381699 39.9582437184236)
,344376665,,university,,"POLYGON ((116.351407 39.957825, 116.351537 39.9578279, 116.3515407 39.9579361, 116.3522726 39.9579532, 116.3522763 39.9578478, 116.3524212 39.957845, 116.3524547 39.9576029, 116.3522689 39.9576086, 116.3522578 39.957788, 116.3515816 39.9577766, 116.3515816 39.9575972, 116.351407 39.9575887, 116.351407 39.957825))",POINT (116.3519193354676 39.95780325926447)
